names,lat,lon,seed,plot,harv,unharv,pd1,pd2,pd3,pd4,pd5,fert
bf8e6248,-16.84,27.04,25,1.25,3000,0,2015-12-06,2015-12-24,2015-12-24,,,400
d5d753ca,-17.2,27.09,15,0.75,1000,0,2016-01-04,,,,,
c2f29681,-17.15,27.15,20,1,2160,0,2015-12-06,2015-12-13,,,,
38b5d7cb,-16.04,26.93,5,0.25,400,0,2015-11-08,,,,,
d6085601,-16.97,27.09,50,2.5,5400,0,2015-11-15,2015-12-13,2016-01-04,,,2100
31185da0,-16.48,26.94,30,1.5,1200,0,2015-12-01,,,,,
416bd907,-16.73,26.95,40,2,5150,0,2015-11-02,2015-12-01,2015-12-06,,,450
3e5a6ebf,-16.75,26.98,40,2,1700,0,2015-12-13,2015-11-24,,,,
74934ba0,-16.45,26.77,40,2,400,0,2015-11-08,,,,,
272ac349,-16.41,26.78,30,1,300,0,2015-12-06,,,,,
9e2c73d4,-17.15,27.14,30,1.5,3750,0,2015-11-08,2015-12-01,2015-12-06,,,
b64e3a38,-16.39,26.77,60,3,5500,0,2015-12-24,2016-01-04,,,,
5da2f23d,-16.78,27.13,15,1.25,1350,0,2015-12-06,2015-12-13,,,,2100
cc2489,-16.84,26.81,40,2,3850,0,2015-11-24,2015-12-24,,,,4140
5c93e9b0,-16.25,26.69,110,4,10350,0,2015-12-13,2015-12-13,2015-12-13,2016-01-18,,
b1b153de,-16.97,26.99,70,3.5,6000,0,2016-01-04,,,,,957
b78e670d,-15.72,26.72,70,3.5,4750,0,2015-12-13,2015-11-15,2015-12-13,,,
294e1554,-16.78,27.32,60,3.1,1750,0,2015-11-02,2015-11-08,2015-12-24,,,400
8dbef106,-16.88,27.27,10,0.5,500,0,2015-11-24,,,,,
77ffbb22,-16.85,26.81,20,1,1000,0,2015-12-01,,,,,
c0c478a6,-16.71,26.88,15,0.8,0,0,2015-11-15,,,,,
7267fbfc,-16.25,26.7,110,5.5,2400,0,2015-12-24,2015-12-24,,,,
3d8e9cb3,-17.19,27.11,80,4,7000,0,2015-12-13,2015-12-13,2016-01-04,,,2100
97c58922,-15.75,26.76,100,7,1800,0,2015-11-08,2015-12-24,,,,
554048f9,-16.47,26.76,15,1,500,0,2015-12-06,,,,,1980
b5639b63,-16.85,26.81,40,1,800,0,2015-11-24,,,,,1800
98296d87,-15.92,26.53,30,2,2500,0,2015-11-15,2015-12-01,,,,
f032d085,-16.72,26.87,60,3.1,5000,0,2015-11-24,2015-11-24,2015-12-01,2015-12-06,,500
ff1b1f69,-16.84,27,5,10.25,2000,0,2015-11-15,2015-12-01,,,,400
64463c84,-15.92,26.52,45,2.25,3825,0,2015-12-06,2015-12-13,2015-12-13,2016-01-04,,
2d8803b6,-16.68,26.87,120,5.5,6000,0,2015-11-15,2015-11-15,2015-12-01,2016-01-04,,1600
506f0076,-16.45,26.77,30,1.5,500,0,2015-11-24,2015-12-01,2015-12-06,,,500
ba7a586e,-17,27.06,80,4,25200,0,2015-12-06,2015-12-06,2015-12-13,2015-12-13,,3600
