podid,lat,lon,date,rain
B00001,-15.75246,26.76351,2017-04-06,0
B00001,-15.75246,26.76351,2017-04-07,0
B00001,-15.75246,26.76351,2017-04-08,0
B00001,-15.75246,26.76351,2017-04-09,0
B00001,-15.75246,26.76351,2017-04-10,0
B00001,-15.75246,26.76351,2017-04-11,0
B00001,-15.75246,26.76351,2017-04-12,0
B00001,-15.75246,26.76351,2017-04-13,0
B00001,-15.75246,26.76351,2017-04-14,0
B00001,-15.75246,26.76351,2017-04-15,0
B00001,-15.75246,26.76351,2017-04-16,0
B00001,-15.75246,26.76351,2017-04-17,0
B00001,-15.75246,26.76351,2017-04-18,0
B00001,-15.75246,26.76351,2017-04-19,0
B00001,-15.75246,26.76351,2017-04-20,0
B00001,-15.75246,26.76351,2017-04-21,0
B00001,-15.75246,26.76351,2017-04-22,0
B00001,-15.75246,26.76351,2017-04-23,0
B00001,-15.75246,26.76351,2017-04-24,0
B00001,-15.75246,26.76351,2017-04-25,0
B00001,-15.75246,26.76351,2017-04-26,0
B00001,-15.75246,26.76351,2017-04-27,0
B00001,-15.75246,26.76351,2017-04-28,0
B00001,-15.75246,26.76351,2017-04-29,0
B00001,-15.75246,26.76351,2017-04-30,0
B00001,-15.75246,26.76351,2017-05-01,0
B00013,-16.24759,26.9109,2016-10-12,0
B00013,-16.24759,26.9109,2016-10-13,0.762
B00013,-16.24759,26.9109,2016-10-14,5.334
B00013,-16.24759,26.9109,2016-10-15,0
B00013,-16.24759,26.9109,2016-10-16,0
B00013,-16.24759,26.9109,2016-10-17,0
B00013,-16.24759,26.9109,2016-10-18,0
B00013,-16.24759,26.9109,2016-10-19,0
B00013,-16.24759,26.9109,2016-10-20,0
B00013,-16.24759,26.9109,2016-10-21,0
B00013,-16.24759,26.9109,2016-10-22,0
B00013,-16.24759,26.9109,2016-10-23,0
B00013,-16.24759,26.9109,2016-10-24,0
B00013,-16.24759,26.9109,2016-10-25,0
B00013,-16.24759,26.9109,2016-10-26,0
B00013,-16.24759,26.9109,2016-10-27,0
B00013,-16.24759,26.9109,2016-10-28,0
B00013,-16.24759,26.9109,2016-10-29,0
B00013,-16.24759,26.9109,2016-10-30,0
B00013,-16.24759,26.9109,2016-10-31,0
B00013,-16.24759,26.9109,2016-11-01,0
B00013,-16.24759,26.9109,2016-11-02,0
B00013,-16.24759,26.9109,2016-11-03,4.826
B00013,-16.24759,26.9109,2016-11-04,0
B00013,-16.24759,26.9109,2016-11-05,0
B00013,-16.24759,26.9109,2016-11-06,4.572
B00013,-16.24759,26.9109,2016-11-07,0
B00013,-16.24759,26.9109,2016-11-08,0
B00013,-16.24759,26.9109,2016-11-09,1.016
B00013,-16.24759,26.9109,2016-11-10,0
B00013,-16.24759,26.9109,2016-11-11,0.254
B00013,-16.24759,26.9109,2016-11-12,1.524
B00013,-16.24759,26.9109,2016-11-13,0
B00013,-16.24759,26.9109,2016-11-14,5.334
B00013,-16.24759,26.9109,2016-11-15,28.956
