uuid,lat,lon,date,season,pl
e912f704-9ceb-4bae-ac38-f1e53efb3b0c,-12.676,32.839,2017-01-16,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-10-17,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-10-24,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-10-31,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-11-07,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-11-14,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-11-21,2,0
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-12-19,2,1
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2016-12-26,2,1
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2017-01-02,2,1
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2017-01-16,2,1
e91d6065-8fb8-4720-a3c3-fbcd7c208807,-16.77,27.135,2017-01-30,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-10-24,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-11-07,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-11-14,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-11-21,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-11-28,2,0
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-12-12,2,1
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2016-12-26,2,1
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2017-01-09,2,1
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2017-01-16,2,1
e93a43a1-e3f5-40b7-bdc2-5dc756791288,-16.923,27.235,2017-01-30,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-10-17,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-10-24,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-10-31,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-11-14,2,0
