names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
1750214016,17,-12.39,26.23,10,0.5,350,2016-12-01,,,,
1750214017,17,-12.1,25.49,25,1,300,2016-11-07,,,,
1750214018,17,-12.39,26.23,30,1.5,2000,2016-11-07,2016-12-05,2016-12-23,,
1750214019,17,-12.38,26.25,10,0.5,1750,2016-11-02,2016-12-01,,,
1750214020,17,-12.4,26.24,20,1,300,2016-12-01,,,,
1750214021,17,-12.39,26.21,35,1.5,2250,2016-12-05,2016-11-02,,,
1750214022,17,-12.11,25.51,20,0.75,100,2016-11-02,,,,
1750214023,17,-12.11,25.51,10,0.25,100,2016-11-07,,,,
1750214024,17,-12.41,26.24,25,1.25,600,2016-11-24,2016-11-24,2016-12-01,,
1750214025,17,-12.41,26.24,22,1,600,2016-12-01,,,,
1750214026,17,-12.39,26.21,20,1,200,2016-10-26,,,,
1750214027,17,-12.4,26.24,15,0.5,0,2016-11-24,,,,
1750216001,17,-19,23,7,0.25,0,2016-11-07,,,,
1750216002,17,-12.32,25.88,20,1,0,2016-12-01,2016-12-05,,,
1750216003,17,-12.32,25.86,20,0.75,300,2016-10-26,,,,
1750225001,17,-12.54,26.16,15,1,750,2016-11-14,,,,
1750225002,17,-12.56,26.14,30,1,0,2016-11-24,2016-12-05,,,
1750225003,17,-12.57,26.14,35,1.75,2650,2016-11-07,2016-11-14,2016-12-23,,
1750225004,17,-15.56,26.14,25,1.25,3200,2016-11-14,2016-12-01,2016-12-12,,
1760112001,17,-16.93,27.26,12,0.550000011920929,0,2016-12-12,2017-01-04,,,
1760119001,17,-17.2,27.11,100,5,26400,2016-12-01,2016-12-23,,,
1760119002,17,-17.2,27.1,20,1.25,2500,2016-12-05,2016-12-05,,,
1760126001,17,-16.72,26.88,60,3,2790,2016-11-07,2016-11-14,2016-12-01,2016-10-26,
1760126002,17,-16.68,26.86,20,1,2500,2016-11-02,2016-12-01,,,
1760126003,17,-16.74,26.96,20,1,0,2016-11-07,2016-12-12,,,
1760126004,17,-16.75,26.96,5,0.300000011920929,250,2016-12-12,,,,
1760130001,17,-16.77,27.4,70,6,5000,2016-12-05,,,,
1760100001,17,-16.93,27.08,60,3,1000,2016-11-14,2016-11-14,2016-12-05,,
1760100002,17,-16.25,28.46,40,2,4200,2016-11-24,2016-12-01,2017-01-04,,
1760100003,17,-16.94,26.99,40,2,7500,2016-12-05,,,,
1760100004,17,-16.52,26.93,10,0.5,700,2016-11-14,,,,
1760202001,17,-16.05,26.97,20,1,1200,2016-11-24,,,,
1760202002,17,-16.06,26.93,40,2,3250,2016-11-07,2017-01-04,,,
1760204001,17,-15.93,26.52,50,2.59999990463257,3250,2016-12-23,,,,
1760205001,17,-15.74,26.74,15,1,150,2016-11-07,,,,
1760222001,17,-16.24,26.69,40,2,8100,2016-12-23,2016-12-23,,,
10101001,16,-15.07,26.74,15,1.5,1700,2015-11-15,,,,
10117001,16,-13.56,28.9,30,0.75,2000,2015-11-24,2015-12-01,,,
10117002,16,-13.52,28.94,10,0.4,1300,2015-12-13,,,,
10117002,17,-13.52,28.94,60,3,5750,2016-12-01,2017-01-04,2017-01-18,,
10117003,16,-13.52,28.94,20,1,3250,2015-11-15,2015-12-01,,,
10117003,17,-13.52,28.94,70,3.5,2250,2016-11-24,2016-12-23,,,
10117004,16,-13.54,28.91,35,1.5,2000,2015-11-08,2015-12-01,,,
10117004,17,-13.54,28.91,30,1.5,0,2016-11-07,2016-12-01,,,
10117005,16,-13.53,28.93,15,0.75,400,2015-12-01,,,,
10117005,17,-13.53,28.93,20,1,1500,2016-12-01,,,,
10117006,16,-13.57,28.9,20,0.5,3000,2015-12-06,,,,
10117006,17,-13.57,28.9,45,2.25,3000,2016-11-24,2016-12-23,,,
10117007,16,-13.53,28.93,15,1,1550,2015-12-01,2015-12-24,,,
10117007,17,-13.53,28.93,30,1.5,1900,2016-12-01,2016-12-23,2017-01-04,,
10117008,16,-13.52,28.94,42.5,1.95,250,2015-11-08,2015-12-06,2015-12-06,2015-12-24,
10117008,17,-13.52,28.94,40,2,1000,2016-11-02,2016-12-01,2016-12-23,,
10117009,16,-13.53,28.93,30,1.5,3250,2015-12-06,2015-12-24,,,
10117009,17,-13.53,28.93,20,1,450,2016-12-01,,,,
10117010,16,-13.52,28.95,5,0.5,500,2015-12-06,,,,
10117010,17,-13.52,28.95,10,0.5,360,2016-11-02,,,,
10117011,16,-13.57,28.9,20,0.5,2000,2015-12-01,,,,
10117011,17,-13.57,28.9,30,1.5,3150,2016-11-02,2016-12-01,2017-01-04,,
10117012,16,-13.54,28.9,95,6,25000,2015-11-08,2015-12-06,2015-12-13,2015-12-01,2015-12-01
10117012,17,-13.54,28.9,135,6.75,25500,2016-11-14,2016-12-05,2016-12-05,2016-12-12,
10117013,16,-13.57,28.9,10,0.25,1000,2016-01-04,,,,
10117013,17,-13.57,28.9,20,1,1500,2016-12-05,2017-01-04,,,
10117014,16,-13.53,28.94,25,1.5,3250,2015-11-24,2015-12-13,,,
10117014,17,-13.53,28.94,40,2,1500,2016-11-24,2016-12-23,,,
10117015,16,-13.56,28.91,20,0.5,400,2015-12-01,,,,
10117015,17,-13.56,28.91,2,0.125,300,2017-01-04,,,,
10117016,16,-13.53,28.92,40,0.75,400,2015-11-02,,,,
10117016,17,-13.53,28.92,0,0,0,,,,,
10117017,16,-13.54,28.91,10,0.36,300,2015-12-13,,,,
10118001,16,-13.96,29.41,75,3.75,6650,2015-11-15,2015-12-01,2015-12-01,,
10118002,16,-13.96,29.43,70,3.4,5500,2015-11-08,2015-11-08,2015-11-15,,
10118002,17,-13.96,29.43,40,2,2150,2016-11-02,2016-11-02,2016-12-12,,
10118003,16,-13.99,29.44,10,0.5,200,2015-11-15,,,,
10118003,17,-13.99,29.44,20,1,550,2016-11-07,,,,
10118004,16,-13.92,29.42,20,1.6,1400,2015-11-02,2015-11-02,,,
10118004,17,-13.92,29.42,10,0.5,1400,2016-11-02,,,,
10118005,16,-13.91,29.42,20,1,2750,2015-12-24,,,,
10118005,17,-13.91,29.42,30,1.5,2500,2016-11-14,2016-11-07,2016-12-23,,
10118006,16,-13.99,29.45,30,1.96,2600,2015-12-01,2015-12-24,,,
10118006,17,-13.99,29.45,40,2,2500,2016-11-24,2016-11-24,,,
10118007,16,-13.96,29.41,20,0.8,3000,2015-12-01,,,,
10118007,17,-13.96,29.41,15,0.5,150,2016-12-12,,,,
10118008,16,-13.96,29.43,20,1,1000,2015-12-01,,,,
10118009,16,-13.99,29.45,30,1.5,2500,2015-12-06,2015-12-06,,,
10118010,16,-13.92,29.42,15,0.3,590,2015-12-01,,,,
10118011,16,-13.96,29.43,10,0.4,1000,2015-12-13,,,,
10118011,17,-13.96,29.43,10,0.5,1500,2016-11-07,,,,
