names,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
60205002,-15.71,26.71,15,2,1500,2015-12-13,,,,
60205003,-15.73,26.74,80,4,10000,2015-12-01,2015-12-06,,,
60205004,-15.75,26.76,100,7,1800,2015-11-08,2015-12-24,,,
60205005,-15.71,26.71,15,2,300,2015-12-01,,,,
60205006,-15.72,26.72,180,9,10000,2015-12-06,,,,
60205007,-15.74,26.74,10,0.25,800,2016-01-04,,,,
60205008,-15.73,26.74,60,3,1250,2015-11-24,2015-12-13,,,
60205009,-15.73,26.73,20,1,1400,2016-01-18,2016-01-11,,,
60205010,-15.75,26.76,50,1,2000,2015-11-02,2015-11-08,2015-12-13,2016-01-04,
60205011,-15.71,26.71,20,0.5,100,2015-12-01,,,,
60205012,-15.72,26.72,200,10,3000,2015-12-01,,,,
60205013,-15.73,26.74,50,2.5,2550,2015-12-01,2015-12-13,2015-12-01,,
60205014,-15.73,26.73,15,1,600,2016-01-04,,,,
60205015,-15.71,26.71,15,1.5,250,2015-12-06,,,,
60205016,-15.75,26.76,20,1,8750,2015-12-24,,,,
60205017,-15.72,26.72,70,3.5,4750,2015-12-13,2015-11-15,2015-12-13,,
60205018,-15.74,26.76,80,3,5580,2016-01-04,2016-01-04,2015-12-24,,
60205019,-15.71,26.71,15,1,200,2015-12-13,,,,
60205020,-15.75,26.76,12,0.6,350,2015-11-02,2015-11-08,,,
60215001,-16.47,26.77,40,3,100,2015-12-06,,,,
60215002,-16.41,26.78,20,1,2200,2015-12-01,,,,
60215003,-16.41,26.78,30,1,300,2015-12-06,,,,
60215004,-16.47,26.76,15,1,500,2015-12-06,,,,
60215005,-16.41,26.78,30,1.75,1350,2015-11-24,,,,
60215006,-16.47,26.76,40,2,3000,2015-12-01,2015-12-13,,,
60222001,-15.92,26.53,55,3,6175,2015-12-13,2015-12-24,2015-12-24,,
60222002,-16.26,26.69,30,1.5,1100,2015-11-02,,,,
60222003,-16.25,26.7,30,1.5,600,2015-11-08,2015-11-24,2015-12-01,,
60222004,-16.23,26.67,70,3.5,10640,2015-11-15,2015-11-15,2015-11-15,2015-11-24,
60222005,-16.26,26.69,40,2,2250,2015-12-01,,,,
60222006,-16.23,26.67,80,4,3750,2015-12-01,2015-12-06,2015-12-13,,
60222007,-16.25,26.7,50,2.5,500,2015-12-13,,,,
60222008,-16.26,26.69,50,2.5,2200,2015-11-24,,,,
60222009,-16.25,26.7,110,5.5,2400,2015-12-24,2015-12-24,,,
60222010,-16.14,26.41,50,2.5,450,2015-11-15,2015-12-01,,,
60222011,-16.23,26.67,40,2,3250,2015-12-01,2015-12-06,,,
60222012,-16.26,26.69,10,0.5,300,2015-11-08,,,,
60222013,-16.23,26.67,100,5,12500,2016-01-11,,,,
60222014,-16.25,26.69,110,4,10350,2015-12-13,2015-12-13,2015-12-13,2016-01-18,
60222015,-16.26,26.69,40,2,3500,2015-12-06,,,,
60222016,-16.14,26.41,40,2,1750,2015-11-08,2015-11-15,,,
60222017,-16.25,26.7,30,1.5,3600,2015-12-13,2015-12-24,,,
60222018,-16.23,26.67,30,2,1250,2015-12-06,,,,
60222019,-16.25,26.69,53,4,3555,2015-12-13,2015-11-15,,,
60222020,-16.26,26.7,40,2,2800,2016-01-04,,,,
